,aeid,Rosiglitazone_Maleate,Troglitazone,biological_process_target,intended_target_family,intended_target_family_sub,intended_target_gene_symbol,technological_target_gene_symbol,intended_target_entrez_gene_id,technological_target_entrez_gene_id,intended_target_gene_name,technological_target_gene_name,assay_component_endpoint_name
0,1,,83.2430592993927,cell proliferation,cell cycle,cytotoxicity,,,,,,,ACEA_T47D_80hr_Negative
1,2,,1000000.0,cell proliferation,nuclear receptor,steroidal,ESR1,,2099,,estrogen receptor 1,,ACEA_T47D_80hr_Positive
2,23,,76.0519141972514,cell cycle,cell cycle,proliferation,,,,,,,APR_HepG2_CellCycleArrest_24h_dn
3,24,,1000000.0,cell cycle,cell cycle,arrest,,,,,,,APR_HepG2_CellCycleArrest_24h_up
4,25,,101.695791313885,cell death,cell cycle,cytotoxicity,,,,,,,APR_HepG2_CellLoss_24h_dn
5,26,,1000000.0,cell death,cell cycle,proliferation,,,,,,,APR_HepG2_CellLoss_24h_up
6,27,,117.850629442189,protein stabilization,cell morphology,cell conformation,,TUBA1A,,7846,,"tubulin, alpha 1a",APR_HepG2_MicrotubuleCSK_24h_dn
7,28,,1000000.0,protein stabilization,cell morphology,cell conformation,,TUBA1A,,7846,,"tubulin, alpha 1a",APR_HepG2_MicrotubuleCSK_24h_up
8,29,,1000000.0,cell cycle,cell morphology,organelle conformation,,,,,,,APR_HepG2_MitoMass_24h_dn
9,30,,1000000.0,cell cycle,cell morphology,organelle conformation,,,,,,,APR_HepG2_MitoMass_24h_up
10,31,,91.3993057346858,mitochondrial depolarization,cell morphology,organelle conformation,,,,,,,APR_HepG2_MitoMembPot_24h_dn
11,32,,1000000.0,mitochondrial depolarization,cell morphology,organelle conformation,,,,,,,APR_HepG2_MitoMembPot_24h_up
12,33,,1000000.0,cell cycle,cell cycle,proliferation,,H3F3A,,3020,,"H3 histone, family 3A",APR_HepG2_MitoticArrest_24h_dn
13,34,,1000000.0,cell cycle,cell cycle,arrest,,H3F3A,,3020,,"H3 histone, family 3A",APR_HepG2_MitoticArrest_24h_up
14,35,,1000000.0,cell cycle,cell morphology,organelle conformation,,,,,,,APR_HepG2_NuclearSize_24h_dn
15,36,,1000000.0,cell cycle,cell morphology,organelle conformation,,,,,,,APR_HepG2_NuclearSize_24h_up
16,37,,1000000.0,oxidative phosphorylation,cell cycle,stress response,,H2AFX,,3014,,"H2A histone family, member X",APR_HepG2_OxidativeStress_24h_dn
17,38,,108.014611690844,oxidative phosphorylation,cell cycle,stress response,,H2AFX,,3014,,"H2A histone family, member X",APR_HepG2_OxidativeStress_24h_up
18,39,,1000000.0,cell death,dna binding,tumor suppressor,TP53,TP53,7157,7157,tumor protein p53,tumor protein p53,APR_HepG2_p53Act_24h_dn
19,40,,1000000.0,cell death,dna binding,tumor suppressor,TP53,TP53,7157,7157,tumor protein p53,tumor protein p53,APR_HepG2_p53Act_24h_up
20,41,,1000000.0,oxidative phosphorylation,cell cycle,stress response,,JUN,,3725,,jun proto-oncogene,APR_HepG2_StressKinase_24h_dn
21,42,,1000000.0,oxidative phosphorylation,cell cycle,stress response,,JUN,,3725,,jun proto-oncogene,APR_HepG2_StressKinase_24h_up
22,43,,1000000.0,cell cycle,cell cycle,proliferation,,,,,,,APR_HepG2_CellCycleArrest_72h_dn
23,44,,1000000.0,cell cycle,cell cycle,arrest,,,,,,,APR_HepG2_CellCycleArrest_72h_up
24,45,,88.4165725827255,cell death,cell cycle,cytotoxicity,,,,,,,APR_HepG2_CellLoss_72h_dn
25,46,,1000000.0,cell death,cell cycle,proliferation,,,,,,,APR_HepG2_CellLoss_72h_up
26,47,,1000000.0,protein stabilization,cell morphology,cell conformation,,TUBA1A,,7846,,"tubulin, alpha 1a",APR_HepG2_MicrotubuleCSK_72h_dn
27,48,,1000000.0,protein stabilization,cell morphology,cell conformation,,TUBA1A,,7846,,"tubulin, alpha 1a",APR_HepG2_MicrotubuleCSK_72h_up
28,49,,78.2090684680014,cell cycle,cell morphology,organelle conformation,,,,,,,APR_HepG2_MitoMass_72h_dn
29,50,,1000000.0,cell cycle,cell morphology,organelle conformation,,,,,,,APR_HepG2_MitoMass_72h_up
30,51,,106.575418851061,mitochondrial depolarization,cell morphology,organelle conformation,,,,,,,APR_HepG2_MitoMembPot_72h_dn
31,52,,1000000.0,mitochondrial depolarization,cell morphology,organelle conformation,,,,,,,APR_HepG2_MitoMembPot_72h_up
32,53,,1000000.0,cell cycle,cell cycle,proliferation,,H3F3A,,3020,,"H3 histone, family 3A",APR_HepG2_MitoticArrest_72h_dn
33,54,,60.2149301830274,cell cycle,cell cycle,arrest,,H3F3A,,3020,,"H3 histone, family 3A",APR_HepG2_MitoticArrest_72h_up
34,55,,1000000.0,cell cycle,cell morphology,organelle conformation,,,,,,,APR_HepG2_NuclearSize_72h_dn
35,56,,1000000.0,cell cycle,cell morphology,organelle conformation,,,,,,,APR_HepG2_NuclearSize_72h_up
36,57,,1000000.0,oxidative phosphorylation,cell cycle,stress response,,H2AFX,,3014,,"H2A histone family, member X",APR_HepG2_OxidativeStress_72h_dn
37,58,,91.8270636567261,oxidative phosphorylation,cell cycle,stress response,,H2AFX,,3014,,"H2A histone family, member X",APR_HepG2_OxidativeStress_72h_up
38,59,,1000000.0,cell death,dna binding,tumor suppressor,TP53,TP53,7157,7157,tumor protein p53,tumor protein p53,APR_HepG2_p53Act_72h_dn
39,60,,57.4748718053601,cell death,dna binding,tumor suppressor,TP53,TP53,7157,7157,tumor protein p53,tumor protein p53,APR_HepG2_p53Act_72h_up
40,61,,1000000.0,oxidative phosphorylation,cell cycle,stress response,,JUN,,3725,,jun proto-oncogene,APR_HepG2_StressKinase_72h_dn
41,62,,78.6709742028191,oxidative phosphorylation,cell cycle,stress response,,JUN,,3725,,jun proto-oncogene,APR_HepG2_StressKinase_72h_up
42,63,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,basic helix-loop-helix protein,AHR,AHR,196,196,aryl hydrocarbon receptor,aryl hydrocarbon receptor,ATG_Ahr_CIS_up
43,1400,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,basic helix-loop-helix protein,,AHR,,196,,aryl hydrocarbon receptor,ATG_Ahr_CIS_dn
44,64,1000000.0,8.05432782821354,regulation of transcription factor activity,dna binding,basic leucine zipper,JUN|FOS,JUN|FOS,3725|2353,3725|2353,jun proto-oncogene|FBJ murine osteosarcoma viral oncogene homolog,jun proto-oncogene|FBJ murine osteosarcoma viral oncogene homolog,ATG_AP_1_CIS_up
45,1401,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,basic leucine zipper,,JUN|FOS,,3725|2353,,jun proto-oncogene|FBJ murine osteosarcoma viral oncogene homolog,ATG_AP_1_CIS_dn
46,65,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,basic helix-turn-helix leucine zipper,TFAP2A|TFAP2B|TFAP2D,TFAP2A|TFAP2B|TFAP2D,7020|7021|83741,7020|7021|83741,transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)|transcription factor AP-2 beta (activating enhancer binding protein 2 beta)|transcription factor AP-2 delta (activating enhancer binding protein 2 delta),transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)|transcription factor AP-2 beta (activating enhancer binding protein 2 beta)|transcription factor AP-2 delta (activating enhancer binding protein 2 delta),ATG_AP_2_CIS_up
47,1402,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,basic helix-turn-helix leucine zipper,,TFAP2A|TFAP2B|TFAP2D,,7020|7021|83741,,transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)|transcription factor AP-2 beta (activating enhancer binding protein 2 beta)|transcription factor AP-2 delta (activating enhancer binding protein 2 delta),ATG_AP_2_CIS_dn
48,66,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,Smad protein,SMAD1,SMAD1,4086,4086,SMAD family member 1,SMAD family member 1,ATG_BRE_CIS_up
49,1404,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,Smad protein,,SMAD1,,4086,,SMAD family member 1,ATG_BRE_CIS_dn
50,67,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,basic leucine zipper,CEBPB,CEBPB,1051,1051,"CCAAT/enhancer binding protein (C/EBP), beta","CCAAT/enhancer binding protein (C/EBP), beta",ATG_C_EBP_CIS_up
51,1410,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,basic leucine zipper,,CEBPB,,1051,,"CCAAT/enhancer binding protein (C/EBP), beta",ATG_C_EBP_CIS_dn
52,68,1000000.0,8.67172371119819,regulation of transcription factor activity,background measurement,internal marker,,,,,,,ATG_CMV_CIS_up
53,1406,1000000.0,1000000.0,regulation of transcription factor activity,background measurement,internal marker,,,,,,,ATG_CMV_CIS_dn
54,69,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,basic leucine zipper,CREB3,CREB3,10488,10488,cAMP responsive element binding protein 3,cAMP responsive element binding protein 3,ATG_CRE_CIS_up
55,1409,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,basic leucine zipper,,CREB3,,10488,,cAMP responsive element binding protein 3,ATG_CRE_CIS_dn
56,70,1000000.0,1000000.0,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1H3|NR1H2,NR1H3|NR1H2,10062|7376,10062|7376,"nuclear receptor subfamily 1, group H, member 3|nuclear receptor subfamily 1, group H, member 2","nuclear receptor subfamily 1, group H, member 3|nuclear receptor subfamily 1, group H, member 2",ATG_DR4_LXR_CIS_up
57,1412,1000000.0,5.9111787422794,regulation of transcription factor activity,nuclear receptor,non-steroidal,,NR1H3|NR1H2,,10062|7376,,"nuclear receptor subfamily 1, group H, member 3|nuclear receptor subfamily 1, group H, member 2",ATG_DR4_LXR_CIS_dn
58,71,1000000.0,1000000.0,regulation of transcription factor activity,nuclear receptor,non-steroidal,RARA|RARB|RARG,RARA|RARB|RARG,5914|5915|5916,5914|5915|5916,"retinoic acid receptor, alpha|retinoic acid receptor, beta|retinoic acid receptor, gamma","retinoic acid receptor, alpha|retinoic acid receptor, beta|retinoic acid receptor, gamma",ATG_DR5_CIS_up
59,1413,1000000.0,1000000.0,regulation of transcription factor activity,nuclear receptor,non-steroidal,,RARA|RARB|RARG,,5914|5915|5916,,"retinoic acid receptor, alpha|retinoic acid receptor, beta|retinoic acid receptor, gamma",ATG_DR5_CIS_dn
60,72,1000000.0,6.55368919666757,regulation of transcription factor activity,dna binding,basic helix-loop-helix protein,USF1,USF1,7391,7391,upstream transcription factor 1,upstream transcription factor 1,ATG_E_Box_CIS_up
61,1424,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,basic helix-loop-helix protein,,USF1,,7391,,upstream transcription factor 1,ATG_E_Box_CIS_dn
62,73,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,E2F transcription factor,E2F1,E2F1,1869,1869,E2F transcription factor 1,E2F transcription factor 1,ATG_E2F_CIS_up
63,1414,1000000.0,6.56511696329019,regulation of transcription factor activity,dna binding,E2F transcription factor,,E2F1,,1869,,E2F transcription factor 1,ATG_E2F_CIS_dn
64,74,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,zinc finger,EGR1,EGR1,1958,1958,early growth response 1,early growth response 1,ATG_EGR_CIS_up
65,1416,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,zinc finger,,EGR1,,1958,,early growth response 1,ATG_EGR_CIS_dn
66,75,0.00800445492585763,0.226236145535942,regulation of transcription factor activity,nuclear receptor,steroidal,ESR1,ESR1,2099,2099,estrogen receptor 1,estrogen receptor 1,ATG_ERE_CIS_up
67,1419,1000000.0,1000000.0,regulation of transcription factor activity,nuclear receptor,steroidal,,ESR1,,2099,,estrogen receptor 1,ATG_ERE_CIS_dn
68,76,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,winged helix-turn-helix,ETS1,ETS1,2113,2113,v-ets avian erythroblastosis virus E26 oncogene homolog 1,v-ets avian erythroblastosis virus E26 oncogene homolog 1,ATG_Ets_CIS_up
69,1423,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,winged helix-turn-helix,,ETS1,,2113,,v-ets avian erythroblastosis virus E26 oncogene homolog 1,ATG_Ets_CIS_dn
70,77,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,forkhead box protein,FOXA2,FOXA2,3170,3170,forkhead box A2,forkhead box A2,ATG_FoxA2_CIS_up
71,1425,57.1984545546524,1000000.0,regulation of transcription factor activity,dna binding,forkhead box protein,,FOXA2,,3170,,forkhead box A2,ATG_FoxA2_CIS_dn
72,78,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,forkhead box protein,FOXO1|FOXO3,FOXO1|FOXO3,2308|2309,2308|2309,forkhead box O1|forkhead box O3,forkhead box O1|forkhead box O3,ATG_FoxO_CIS_up
73,1426,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,forkhead box protein,,FOXO1|FOXO3,,2308|2309,,forkhead box O1|forkhead box O3,ATG_FoxO_CIS_dn
74,79,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,GATA proteins,GATA1,GATA1,2623,2623,GATA binding protein 1 (globin transcription factor 1),GATA binding protein 1 (globin transcription factor 1),ATG_GATA_CIS_up
75,1429,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,GATA proteins,,GATA1,,2623,,GATA binding protein 1 (globin transcription factor 1),ATG_GATA_CIS_dn
76,80,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,zinc finger,GLI1,GLI1,2735,2735,GLI family zinc finger 1,GLI family zinc finger 1,ATG_GLI_CIS_up
77,1431,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,zinc finger,,GLI1,,2735,,GLI family zinc finger 1,ATG_GLI_CIS_dn
78,81,1000000.0,1000000.0,regulation of transcription factor activity,nuclear receptor,steroidal,NR3C1,NR3C1,2908,2908,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)","nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",ATG_GRE_CIS_up
79,1432,1000000.0,1000000.0,regulation of transcription factor activity,nuclear receptor,steroidal,,NR3C1,,2908,,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",ATG_GRE_CIS_dn
80,82,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,basic helix-loop-helix protein,HIF1A,HIF1A,3091,3091,"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)","hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)",ATG_HIF1a_CIS_up
81,1434,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,basic helix-loop-helix protein,,HIF1A,,3091,,"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)",ATG_HIF1a_CIS_dn
82,83,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,homeobox protein,ONECUT1,ONECUT1,3175,3175,one cut homeobox 1,one cut homeobox 1,ATG_HNF6_CIS_up
83,1437,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,homeobox protein,,ONECUT1,,3175,,one cut homeobox 1,ATG_HNF6_CIS_dn
84,84,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,heat shock protein,HSF1,HSF1,3297,3297,heat shock transcription factor 1,heat shock transcription factor 1,ATG_HSE_CIS_up
85,1439,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,heat shock protein,,HSF1,,3297,,heat shock transcription factor 1,ATG_HSE_CIS_dn
86,85,1000000.0,1000000.0,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1H4,NR1H4,9971,9971,"nuclear receptor subfamily 1, group H, member 4","nuclear receptor subfamily 1, group H, member 4",ATG_IR1_CIS_up
87,1440,1000000.0,1000000.0,regulation of transcription factor activity,nuclear receptor,non-steroidal,,NR1H4,,9971,,"nuclear receptor subfamily 1, group H, member 4",ATG_IR1_CIS_dn
88,86,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,interferon regulatory factors,IRF1,IRF1,3659,3659,interferon regulatory factor 1,interferon regulatory factor 1,ATG_ISRE_CIS_up
89,1441,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,interferon regulatory factors,,IRF1,,3659,,interferon regulatory factor 1,ATG_ISRE_CIS_dn
90,87,1000000.0,1000000.0,regulation of transcription factor activity,background measurement,internal marker,,,,,,,ATG_M_06_CIS_up
91,1449,1000000.0,1000000.0,regulation of transcription factor activity,background measurement,internal marker,,,,,,,ATG_M_06_CIS_dn
92,88,1000000.0,1000000.0,regulation of transcription factor activity,background measurement,internal marker,,,,,,,ATG_M_19_CIS_up
93,1451,1000000.0,1000000.0,regulation of transcription factor activity,background measurement,internal marker,,,,,,,ATG_M_19_CIS_dn
94,89,1000000.0,1000000.0,regulation of transcription factor activity,background measurement,internal marker,,,,,,,ATG_M_32_CIS_up
95,1453,1000000.0,1000000.0,regulation of transcription factor activity,background measurement,internal marker,,,,,,,ATG_M_32_CIS_dn
96,90,1000000.0,1000000.0,regulation of transcription factor activity,background measurement,internal marker,,,,,,,ATG_M_61_CIS_up
97,1455,1000000.0,1000000.0,regulation of transcription factor activity,background measurement,internal marker,,,,,,,ATG_M_61_CIS_dn
98,91,1000000.0,16.3480069494158,regulation of transcription factor activity,dna binding,zinc finger,MTF1,MTF1,4520,4520,metal-regulatory transcription factor 1,metal-regulatory transcription factor 1,ATG_MRE_CIS_up
99,1445,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,zinc finger,,MTF1,,4520,,metal-regulatory transcription factor 1,ATG_MRE_CIS_dn
100,92,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,MYB proteins,MYB,MYB,4602,4602,v-myb avian myeloblastosis viral oncogene homolog,v-myb avian myeloblastosis viral oncogene homolog,ATG_Myb_CIS_up
101,1447,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,MYB proteins,,MYB,,4602,,v-myb avian myeloblastosis viral oncogene homolog,ATG_Myb_CIS_dn
102,93,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,basic helix-loop-helix leucine zipper,MYC,MYC,4609,4609,v-myc avian myelocytomatosis viral oncogene homolog,v-myc avian myelocytomatosis viral oncogene homolog,ATG_Myc_CIS_up
103,1448,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,basic helix-loop-helix leucine zipper,,MYC,,4609,,v-myc avian myelocytomatosis viral oncogene homolog,ATG_Myc_CIS_dn
104,94,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,NF-kappa B,NFKB1,NFKB1,4790,4790,nuclear factor of kappa light polypeptide gene enhancer in B-cells 1,nuclear factor of kappa light polypeptide gene enhancer in B-cells 1,ATG_NF_kB_CIS_up
105,1458,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,NF-kappa B,,NFKB1,,4790,,nuclear factor of kappa light polypeptide gene enhancer in B-cells 1,ATG_NF_kB_CIS_dn
106,95,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,nuclear factor I,NFIA,NFIA,4774,4774,nuclear factor I/A,nuclear factor I/A,ATG_NFI_CIS_up
107,1457,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,nuclear factor I,,NFIA,,4774,,nuclear factor I/A,ATG_NFI_CIS_dn
108,96,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,nuclear respiratory factors,NRF1,NRF1,4899,4899,nuclear respiratory factor 1,nuclear respiratory factor 1,ATG_NRF1_CIS_up
109,1460,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,nuclear respiratory factors,,NRF1,,4899,,nuclear respiratory factor 1,ATG_NRF1_CIS_dn
110,97,17.8210239875345,9.66801110478665,regulation of transcription factor activity,dna binding,basic leucine zipper,NFE2L2,NFE2L2,4780,4780,"nuclear factor, erythroid 2-like 2","nuclear factor, erythroid 2-like 2",ATG_NRF2_ARE_CIS_up
111,1461,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,basic leucine zipper,,NFE2L2,,4780,,"nuclear factor, erythroid 2-like 2",ATG_NRF2_ARE_CIS_dn
112,98,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,POU domain protein,POU2F1,POU2F1,5451,5451,POU class 2 homeobox 1,POU class 2 homeobox 1,ATG_Oct_MLP_CIS_up
113,1464,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,POU domain protein,,POU2F1,,5451,,POU class 2 homeobox 1,ATG_Oct_MLP_CIS_dn
114,99,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,tumor suppressor,TP53,TP53,7157,7157,tumor protein p53,tumor protein p53,ATG_p53_CIS_up
115,1465,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,tumor suppressor,,TP53,,7157,,tumor protein p53,ATG_p53_CIS_dn
116,100,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,paired box protein,PAX6,PAX6,5080,5080,paired box 6,paired box 6,ATG_Pax6_CIS_up
117,1466,1000000.0,1000000.0,regulation of transcription factor activity,dna binding,paired box protein,,PAX6,,5080,,paired box 6,ATG_Pax6_CIS_dn
118,101,49.7633010372562,1000000.0,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1I3,NR1I3,9970,9970,"nuclear receptor subfamily 1, group I, member 3","nuclear receptor subfamily 1, group I, member 3",ATG_PBREM_CIS_up
119,1467,1000000.0,1000000.0,regulation of transcription factor activity,nuclear receptor,non-steroidal,,NR1I3,,9970,,"nuclear receptor subfamily 1, group I, member 3",ATG_PBREM_CIS_dn
120,102,0.00800000000102339,0.0835220664289543,regulation of transcription factor activity,nuclear receptor,non-steroidal,PPARA|PPARD|PPARG,PPARA|PPARD|PPARG,5465|5467|5468,5465|5467|5468,peroxisome proliferator-activated receptor alpha|peroxisome proliferator-activated receptor delta|peroxisome proliferator-activated receptor gamma,peroxisome proliferator-activated receptor alpha|peroxisome proliferator-activated receptor delta|peroxisome proliferator-activated receptor gamma,ATG_PPRE_CIS_up
121,1472,1000000.0,1000000.0,regulation of transcription factor activity,nuclear receptor,non-steroidal,,PPARA|PPARD|PPARG,,5465|5467|5468,,peroxisome proliferator-activated receptor alpha|peroxisome proliferator-activated receptor delta|peroxisome proliferator-activated receptor gamma,ATG_PPRE_CIS_dn
122,103,5.42870866813587,1.78534435441659,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1I2,NR1I2,8856,8856,"nuclear receptor subfamily 1, group I, member 2","nuclear receptor subfamily 1, group I, member 2",ATG_PXRE_CIS_up
